Index,SMILES,Solvent_str,Density,vdw,coulomb_interaction,D[cat] m2/s,Cla_75%
COC(=O)C#N,COC(=O)C#N,0.52,1457.65,-250.5072606,-964.2561808,3.56E-11,1
COC(=O)CCCF,COC(=O)CCCF,0.59,1448.77,-249.7694104,-986.2111518,2.48E-11,0
COC(=O)OC(N)=O,COC(=O)OC(N)=O,0.41,1481.47,-253.4657028,-874.9666498,3.06E-11,0
COC(C)(C)OC,COC(C)(C)OC,0.56,1435.87,-237.4951809,-966.4792307,2.88E-11,0
COC(C)=O,COC(C)=O,0.63,1447.97,-249.2275341,-984.5376585,2.52E-11,0
COC(C)CCCF,COC(C)CCCF,0.67,1439.91,-243.1879314,-937.8806048,3.64E-11,1
COC(C)OC(C)C,COC(C)OC(C)C,0.56,1432.75,-242.1273761,-912.5164798,2.11E-11,0
COC(CC(C)(C)C)OC,COC(CC(C)(C)C)OC,0.48,1440,-242.7658069,-880.3997301,1.23E-11,0
COC(CF)CCF,COC(CF)CCF,0.48,1452.32,-238.0757096,-923.3147151,3.78E-11,1
COC(F)(F)C(F)(F)C(C)(F)F,COC(F)(F)C(F)(F)C(C)(F)F,0.41,1483.32,-242.6835657,-924.828539,3.76E-11,1
COC(F)(F)C(F)(F)C(F)(F)C(F)F,COC(F)(F)C(F)(F)C(F)(F)C(F)F,0.48,1495.36,-239.2656933,-923.9357555,2.89E-11,0
COC(F)(F)C(F)(F)C(F)F,COC(F)(F)C(F)(F)C(F)F,0.48,1486.53,-242.3368747,-937.7260784,2.47E-11,0
COC(F)C(F)C(C)CF,COC(F)C(F)C(C)CF,0.44,1457.86,-240.444704,-932.1350007,2.39E-11,0
COC(F)OC(C)(C)C,COC(F)OC(C)(C)C,0.63,1442.9,-240.2374246,-852.3440111,3.71E-11,1
COC(F)OC(CF)C(C)(F)F,COC(F)OC(CF)C(C)(F)F,0.48,1469.57,-247.646634,-973.2738843,1.97E-11,0
COCC(C)OC,COCC(C)OC,0.37,1434.65,-245.046149,-938.7129503,2.86E-11,0
COCCC(C)F,COCCC(C)F,0.48,1443.35,-244.7944945,-918.5799267,3.33E-11,1
COCCCC(C)(F)F,COCCCC(C)(F)F,0.48,1445.33,-245.9614556,-931.1246093,3.74E-11,1
COCCCC(C)C(F)F,COCCCC(C)C(F)F,0.63,1444.64,-243.7845895,-932.3701514,1.76E-11,0
COCCCC(C)CF,COCCCC(C)CF,0.59,1441.62,-241.5494258,-916.3782118,3.33E-11,1
COCCCC(F)(F)F,COCCCC(F)(F)F,0.59,1459.91,-240.363036,-931.9063449,2.88E-11,0
COCCCC(F)F,COCCCC(F)F,0.48,1450.97,-243.9296859,-936.4443846,2.34E-11,0
COCCCCCF,COCCCCCF,0.63,1439.05,-243.4858765,-916.3395636,2.76E-11,0
COCCCCF,COCCCCF,0.41,1440.18,-243.9125992,-926.7086854,3.06E-11,0
COCCOC(C)(C)F,COCCOC(C)(C)F,0.52,1443.98,-248.0647678,-926.8075381,2.57E-11,0
COCCOC(C)CF,COCCOC(C)CF,0.41,1443.4,-249.4467319,-940.0935385,2.16E-11,0
COCF,COCF,0.63,1450.98,-242.4297694,-935.554662,4.96E-11,1
FCOCC(F)(F)F,FCOCC(F)(F)F,0.67,1477.24,-241.6416992,-932.3679828,4.28E-11,1
O=C(CCO)OCF,O=C(CCO)OCF,0.37,1464.94,-251.9524936,-922.9638745,3.02E-11,0
OC(F)(F)C(F)(F)C(F)(F)F,OC(F)(F)C(F)(F)C(F)(F)F,0.59,1507.51,-236.5623178,-904.8255874,2.10E-11,0
